uid,nickname,username,verified,follower_count,like_count,video_count,hashtags
7010627377709499398,why1lovehuman,why1lovehuman,False,2028,117900,44,"['foryou', 'halloween', 'light', 'humourquebec', 'autumn']"
92253275852242944,Jaron & Maggie,theblondebrewer,False,2100000,42400000,453,"['iknowwhatyoudid', 'couplecomedy', 'gangstasparadise', 'gangstaswalk']"
6531892024520982537,Guy With The Hair,officialguywiththehair,False,814300,5000000,42,"['guywiththehair', 'parenting', 'song', 'livelaughlove', 'momsoftiktok', 'dadsoftiktok', 'relatable', 'funny', 'life', 'facts', 'foryou', 'viral', 'trending']"
182799598489415680,Andrew Jonathan,andrewjonathan3,False,15100,2000000,636,"['foryou', 'fypシ', 'canada', 'fall']"
6624956006211600390,Max Taylor,maxemersontaylor,False,1200000,55400000,404,[]
7000361947348960261,thishourhas22minutes,thishourhas22minutes,False,351100,3900000,20,"['fyp', 'foryou', 'sketchcomedy', 'funny', 'canada', 'cbc', 'thishourhas22minutes', '22minutes']"
6621187864221384710,LeendaDong,yoleendadong,True,16900000,697800000,1107,"['', 'myfood', 'ghostpepper', 'sibling', 'siblingcheck']"
7007319958909453317,leo.husky,leo.husky,False,1100000,36000000,238,"['husky', 'cute', 'viral', 'pet', 'fyp']"
6923134890816848902,Anonymous_Jay_Zeus_Official,anonymous_jay_zeus,False,24900,250300,266,"['justforlaughs', 'funnyy', 'canadians', 'canadianproblems']"
6625294714394591237,Carla,carlaiglesiasss,False,513,7177,12,"['minions', 'fyp']"
6933778271533417478,bobbyshmurdatwin,bobbyshmurdatwin,False,27,2148,1,"['fyp', 'makeitcinematic', 'dog']"
6786664648160904197,The Goldfish Guy,lukesgoldies,False,3200000,79500000,1778,"['fish', 'bubba', 'goldfish', 'aquarium']"
6789604926555603973,The Toronto Zoo,thetorontozoo,True,249200,2400000,123,"['pumpkinseason', 'pumpkin', 'halloween', 'tiktokhalloween', 'hellofall', 'wildlife', 'tiktokanimals', 'torontozoo']"
6733594125989970950,Date Night Canada,datenightcanada,False,73300,699900,910,"['', 'bc', 'showmecanada', 'revelstoke', 'outdoorfun', 'mountains']"
192269640520318976,Force armée canadienne🇨🇦,armed_force.ca,False,28700,236500,232,"['foryou', 'fyp', 'army', 'penningtonsfreedom', 'canadian', 'armycanadian', 'warrior', 'military', 'taskforce', '🇨🇦', 'fakegun', 'history']"
6778879188986643462,Useless Farm,useless_farm,False,2800000,81000000,1600,['']
6961458548681819142,Ryan Reynolds,vancityreynolds,True,14000000,55000000,11,['freeguy']
6742470921233990661,kopke613,kopke613,False,3400000,75400000,303,"['canadian', 'canada']"
248744033697562624,Celinaspookyboo,celinaspookyboo,True,21900000,720000000,1216,['dadjokes']
11956846,The Mannii Show,the_mannii,True,11900000,513600000,2980,"['unbanthemanniishow', 'themannii', 'pov', 'relatable', 'comedy', 'satire', 'funny', 'fyp']"
6993810126499251205,Tam_less81,tam_less81,False,4952,69500,14,"['smiling', 'picnictime', 'bear']"
6676352751163032582,LADbible,ladbible,True,7100000,303700000,1553,"['', 'ladbible', 'fyp', 'foryou', 'dogsofttiktok', 'funny', 'crazy']"
6900751760702129157,Bostick Family Light Show,bostickfamilylightshow,False,648400,14500000,63,"['', 'bostickfamilylightshow', 'tombetgeorge', 'fypシ', 'foryoupage', 'foryou', 'fyp', 'funny', 'fy', 'coincidance', 'danceoff', 'halloween', 'spooky']"
6778260823494050821,NileRed,nilered,True,6000000,100900000,90,"['science', 'chemistry', 'nilered']"
3699061,Sarah Magusara,sarahmagusara,True,17000000,1000000000,1862,[]
92253275852242944,Jaron & Maggie,theblondebrewer,False,2100000,42400000,453,"['iknowwhatyoudid', 'couplecomedy', 'gangstasparadise', 'gangstaswalk']"
7000361947348960261,thishourhas22minutes,thishourhas22minutes,False,351100,3900000,20,"['fyp', 'foryou', 'sketchcomedy', 'funny', 'canada', 'cbc', 'thishourhas22minutes', '22minutes']"
6621187864221384710,LeendaDong,yoleendadong,True,16900000,697800000,1107,"['', 'myfood', 'ghostpepper', 'sibling', 'siblingcheck']"
6531892024520982537,Guy With The Hair,officialguywiththehair,False,814300,5000000,42,"['guywiththehair', 'parenting', 'song', 'livelaughlove', 'momsoftiktok', 'dadsoftiktok', 'relatable', 'funny', 'life', 'facts', 'foryou', 'viral', 'trending']"
6923134890816848902,Anonymous_Jay_Zeus_Official,anonymous_jay_zeus,False,24900,250300,266,"['justforlaughs', 'funnyy', 'canadians', 'canadianproblems']"
7007319958909453317,leo.husky,leo.husky,False,1100000,36000000,238,"['husky', 'cute', 'viral', 'pet', 'fyp']"
6778879188986643462,Useless Farm,useless_farm,False,2800000,81000000,1600,['']
6789604926555603973,The Toronto Zoo,thetorontozoo,True,249200,2400000,123,"['pumpkinseason', 'pumpkin', 'halloween', 'tiktokhalloween', 'hellofall', 'wildlife', 'tiktokanimals', 'torontozoo']"
6879337161130476546,Mks,mks.vision,False,16500000,199200000,509,"['tomasmood', 'fy', 'animes']"
6882651091105743877,The Can-EH-lien and buds,thecanehlien,False,267500,2900000,390,"['', 'coffee', 'donuts', 'tims', 'timhortons', 'timmies', 'doubledouble']"
6995402028004492293,kallmewhateveryouwant,kallmewhateveryouwant,False,8500000,78500000,32,['']
6786664648160904197,The Goldfish Guy,lukesgoldies,False,3200000,79500000,1778,"['fish', 'bubba', 'goldfish', 'aquarium']"
6625294714394591237,Carla,carlaiglesiasss,False,513,7177,12,"['minions', 'fyp']"
6733594125989970950,Date Night Canada,datenightcanada,False,73300,699900,910,"['', 'bc', 'showmecanada', 'revelstoke', 'outdoorfun', 'mountains']"
6961458548681819142,Ryan Reynolds,vancityreynolds,True,14000000,55000000,11,['freeguy']
6742470921233990661,kopke613,kopke613,False,3400000,75400000,303,"['canadian', 'canada']"
6778260823494050821,NileRed,nilered,True,6000000,100900000,90,"['science', 'chemistry', 'nilered']"
248744033697562624,Celinaspookyboo,celinaspookyboo,True,21900000,720000000,1216,['dadjokes']
6900751760702129157,Bostick Family Light Show,bostickfamilylightshow,False,648500,14500000,63,"['', 'bostickfamilylightshow', 'tombetgeorge', 'fypシ', 'foryoupage', 'foryou', 'fyp', 'funny', 'fy', 'coincidance', 'danceoff', 'halloween', 'spooky']"
6993810126499251205,Tam_less81,tam_less81,False,4952,69500,14,"['smiling', 'picnictime', 'bear']"
6676352751163032582,LADbible,ladbible,True,7100000,303700000,1553,"['', 'ladbible', 'fyp', 'foryou', 'dogsofttiktok', 'funny', 'crazy']"
11956846,The Mannii Show,the_mannii,True,11900000,513600000,2980,"['unbanthemanniishow', 'themannii', 'pov', 'relatable', 'comedy', 'satire', 'funny', 'fyp']"
3699061,Sarah Magusara,sarahmagusara,True,17000000,1000000000,1862,[]
6923134890816848902,Anonymous_Jay_Zeus_Official,anonymous_jay_zeus,False,24900,250300,266,"['justforlaughs', 'funnyy', 'canadians', 'canadianproblems']"
6621187864221384710,LeendaDong,yoleendadong,True,16900000,697800000,1107,"['', 'myfood', 'ghostpepper', 'sibling', 'siblingcheck']"
92253275852242944,Jaron & Maggie,theblondebrewer,False,2100000,42400000,453,"['iknowwhatyoudid', 'couplecomedy', 'gangstasparadise', 'gangstaswalk']"
7000361947348960261,thishourhas22minutes,thishourhas22minutes,False,351100,3900000,20,"['fyp', 'foryou', 'sketchcomedy', 'funny', 'canada', 'cbc', 'thishourhas22minutes', '22minutes']"
6531892024520982537,Guy With The Hair,officialguywiththehair,False,814300,5000000,42,"['guywiththehair', 'parenting', 'song', 'livelaughlove', 'momsoftiktok', 'dadsoftiktok', 'relatable', 'funny', 'life', 'facts', 'foryou', 'viral', 'trending']"
6789604926555603973,The Toronto Zoo,thetorontozoo,True,249200,2400000,123,"['pumpkinseason', 'pumpkin', 'halloween', 'tiktokhalloween', 'hellofall', 'wildlife', 'tiktokanimals', 'torontozoo']"
6879337161130476546,Mks,mks.vision,False,16500000,199200000,509,"['tomasmood', 'fy', 'animes']"
6625294714394591237,Carla,carlaiglesiasss,False,513,7178,12,"['minions', 'fyp']"
6719476885715813381,Walker Hayes,walkerhayesofficial,True,2000000,18000000,206,"['', 'duet']"
6933778271533417478,bobbyshmurdatwin,bobbyshmurdatwin,False,27,2153,1,"['fyp', 'makeitcinematic', 'dog']"
7007319958909453317,leo.husky,leo.husky,False,1100000,36000000,238,"['husky', 'cute', 'viral', 'pet', 'fyp']"
6733594125989970950,Date Night Canada,datenightcanada,False,73300,699900,910,"['', 'bc', 'showmecanada', 'revelstoke', 'outdoorfun', 'mountains']"
